"source_url","target_url","reason"
"https://alex-repair.com/brands/amana-appliance-repair.html","https://alex-repair.com/brands.html","Retired thin brand page; model support remains on the brand directory"
"https://alex-repair.com/carmel/amana-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/fishers/amana-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/westfield/amana-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/noblesville/amana-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/mccordsville/amana-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/zionsville/amana-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/brands/bertazzoni-appliance-repair.html","https://alex-repair.com/brands.html","Retired thin brand page; model support remains on the brand directory"
"https://alex-repair.com/carmel/bertazzoni-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/fishers/bertazzoni-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/westfield/bertazzoni-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/noblesville/bertazzoni-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/mccordsville/bertazzoni-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/zionsville/bertazzoni-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/brands/dacor-appliance-repair.html","https://alex-repair.com/brands.html","Retired thin brand page; model support remains on the brand directory"
"https://alex-repair.com/carmel/dacor-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/fishers/dacor-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/westfield/dacor-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/noblesville/dacor-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/mccordsville/dacor-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/zionsville/dacor-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
"https://alex-repair.com/brands/electrolux-appliance-repair.html","https://alex-repair.com/brands.html","Retired thin brand page; model support remains on the brand directory"
"https://alex-repair.com/carmel/electrolux-appliance-repair.html","https://alex-repair.com/brands.html","Retired duplicate city-brand route"
